ID,DVI,EVI,GNDVI,GRVI,IPVI,LCI,MSAVI,MSRI,NDRE,NDVI,NGRVI,OSAVI,RVI,SAVI,SRI,TDVI,VREI,WDRVI
A1,16567.02306,1.353253683,0.324362162,2.091121408,0.830997474,0.001526706,0.792515364,1.343388937,0.001600106,0.661994947,0.441617974,0.661990574,0.207467115,0.002399935,5.136287702,1.077024275,1.010896809,0.012938701
A2,15877.71776,1.424928703,0.390750047,1.952240469,0.840708313,0.051023102,0.803542943,2.702708063,0.032882565,0.681416626,0.438142151,0.681411765,0.196435579,0.049322959,4.784126803,1.085287398,1.075444858,0.080511839
A3,14600.52958,1.247947843,0.294028273,2.254253843,0.8111766,-0.029904916,0.761505557,1.173840862,-0.017406898,0.6223532,0.41261764,0.622348777,0.238467044,-0.026110252,5.131216263,1.058147744,0.973557564,-0.052993029
A4,16177.62694,1.304853546,0.37752017,2.055647144,0.824385119,0.057096351,0.7859825,1.180931086,0.037519104,0.648770239,0.359198146,0.648765975,0.214000153,0.056277763,6.19605415,1.071589172,1.083706299,-0.027622447
A5,16876.22543,1.338408615,0.326018957,2.221870135,0.829761327,-0.003520627,0.792798463,1.246796743,-0.001073675,0.659522654,0.427597161,0.659518426,0.207177414,-0.001610652,5.892562124,1.076355031,1.003878747,-0.003257184
A6,17079.38261,1.430264118,0.34476531,2.511020569,0.843489689,0.015750412,0.808916956,1.69012774,0.009876492,0.686979377,0.469429733,0.686974807,0.191059067,0.01481437,5.157662575,1.0882195,1.027714052,0.070040004
A7,17342.25183,1.48847348,0.418138622,2.707106618,0.856467421,0.082986693,0.831306785,1.475162373,0.052495346,0.712934842,0.421859496,0.71293004,0.168670491,0.078741839,4.45222253,1.101081327,1.117768708,0.094709724
A8,16332.7588,1.441398391,0.443719738,2.099006743,0.848150773,0.093303384,0.819503491,1.406651533,0.060469599,0.696301545,0.366730283,0.696296645,0.180467596,0.090702901,6.211371733,1.093422147,1.13806468,0.064008518
A9,16077.48636,1.33641962,0.332107112,2.296139894,0.829119748,-0.004958916,0.791327716,1.249372354,-0.001832205,0.658239496,0.420706107,0.658235065,0.208654779,-0.002748454,5.499576986,1.075639435,1.003039744,-0.00352036
A10,15353.97178,1.248627997,0.382701782,2.577478889,0.813978616,0.054529629,0.770347346,1.104614048,0.036813156,0.627957233,0.321795741,0.627953002,0.229631107,0.055218773,6.04720508,1.061811025,1.083815267,-0.062716245
A11,17389.66527,1.488376473,0.426736247,2.30101026,0.856442679,0.084816498,0.831300815,1.476856729,0.053973677,0.712885358,0.412685902,0.712880559,0.168676902,0.080959284,6.019083588,1.101063666,1.122277173,0.094784089
A12,16797.41398,1.405078701,0.385540291,2.165243542,0.842297032,0.051507828,0.811861631,1.331456117,0.033006435,0.684594064,0.407004212,0.684589498,0.188118818,0.049508867,5.83789229,1.088188172,1.073839645,0.037374363
A13,16611.67551,1.411513832,0.341723207,2.48467995,0.84176197,0.011819599,0.808710004,1.403347444,0.008060096,0.68352394,0.455277951,0.683519298,0.191271912,0.012089791,5.561805343,1.087142426,1.023829976,0.049404041
A14,17308.15137,1.509984113,0.385587095,2.319586439,0.857077258,0.040995646,0.828134364,2.097008911,0.024918158,0.714154516,0.480643688,0.714149638,0.171845665,0.037376576,5.396813921,1.100696128,1.059208909,0.126749943
A15,16492.18048,1.42203588,0.381551921,2.279228268,0.844262267,0.057631477,0.812978342,1.39630959,0.036569408,0.688524533,0.422462684,0.688519807,0.186993871,0.054853211,6.525666318,1.089622251,1.082944299,0.052956146
A16,16172.25803,1.359820461,0.360414586,2.133723383,0.831890891,0.045184269,0.793204281,1.342303015,0.028406975,0.663781782,0.41138664,0.66377729,0.206777865,0.042609722,4.988475688,1.077721784,1.067109647,0.018078533
A17,16470.06441,1.374099733,0.337252253,2.157170047,0.835493112,0.009558439,0.800100564,1.322930876,0.006883845,0.670986224,0.437842056,0.670981719,0.199883575,0.010325438,5.214922535,1.081442122,1.02158796,0.022834924
A18,16352.8833,1.32024241,0.335951615,2.462317826,0.824940017,0.023472508,0.783398846,1.268214778,0.014921504,0.649880033,0.412219109,0.649875773,0.216578568,0.022381786,4.262781838,1.071331617,1.038558338,-0.008334488
A19,17206.93201,1.489210096,0.401567409,1.995796352,0.855733647,0.061368454,0.828992233,1.512923518,0.038552204,0.711467294,0.44068024,0.711462445,0.170993951,0.057827364,9.621614497,1.100111865,1.08872991,0.099257757
A20,16074.15623,1.306462724,0.309704666,2.124159044,0.823534555,-0.030635233,0.78286263,1.209620998,-0.017222573,0.647069111,0.426147744,0.647064819,0.217111257,-0.025833727,5.075518077,1.070376139,0.972422279,-0.02208415
A21,16256.65068,1.342584669,0.337286961,1.779543248,0.83018426,0.017028893,0.792835102,1.260420233,0.011657306,0.660368521,0.419554957,0.660364108,0.207141336,0.017485539,4.313145271,1.076618929,1.031361589,0.000695547
A22,16052.55298,1.195641675,0.260672866,2.360316579,0.80323597,-0.055561169,0.752666539,1.050112808,-0.03248096,0.60647194,0.412655942,0.606468177,0.247319296,-0.048721029,5.142522574,1.051367483,0.942459211,-0.09238567
A23,16921.11315,1.519088776,0.369369339,2.398463076,0.859278038,0.024813522,0.831988378,1.725201902,0.015359079,0.718556076,0.495527341,0.718551018,0.167990475,0.023038096,5.592025992,1.102894466,1.040213042,0.12887168
A24,16872.20441,1.353325956,0.402039575,1.855439391,0.833240452,0.070703811,0.79907026,1.247825713,0.046014364,0.666480905,0.360338283,0.6664766,0.200905943,0.069020513,4.846985964,1.079863554,1.102807256,0.003000002
A25,15386.92902,1.200123283,0.27805886,2.122423188,0.803795517,-0.034766614,0.752887627,1.059703512,-0.020163002,0.607591033,0.399093021,0.607587085,0.247084557,-0.030244312,5.196999586,1.05176355,0.96667482,-0.088780047
A26,16363.30187,1.330612628,0.337726182,2.57429989,0.827883751,0.010527025,0.789110439,1.244066355,0.007483604,0.655767501,0.412960966,0.655763176,0.210875705,0.011225084,7.781043836,1.074400135,1.021878672,-0.006654475
A27,17294.4171,1.422893006,0.428294606,1.966411659,0.845416267,0.080710372,0.816271787,1.357126808,0.052154375,0.690832534,0.371979832,0.690828018,0.183702319,0.078230386,5.173321862,1.091057474,1.117833083,0.049159119
A28,16588.74459,1.297076837,0.307777634,2.111581534,0.822309096,-0.012641075,0.781909618,1.185335925,-0.006526841,0.644618192,0.422713137,0.644614087,0.218067113,-0.0097903,8.547348123,1.06942157,0.993057805,-0.029890178
A29,16125.2303,1.337020411,0.33644124,3.013311738,0.829087668,0.006842821,0.791059021,1.254687777,0.005124492,0.658175336,0.418056063,0.658170899,0.208919712,0.007686449,4.793092361,1.075560009,1.016903894,-0.002529079
A30,18262.29662,1.631252338,0.481585212,2.538561224,0.879818492,0.118544228,0.862184204,1.765143999,0.074168127,0.759636984,0.440054353,0.759631794,0.137797351,0.111250553,5.219438749,1.12205,1.168911765,0.197671726
A31,16976.74069,1.367786788,0.423085643,2.669010016,0.835838798,0.082542438,0.802869476,1.269222606,0.054095533,0.671677596,0.345358741,0.671673247,0.197107948,0.081142075,7.486452438,1.082280478,1.122200186,0.012351151
A32,18548.41559,1.788420188,0.41107605,2.450053108,0.901672196,0.032722582,0.886998399,4.013477955,0.01891512,0.803344393,0.62951974,0.803338631,0.112966239,0.028372127,4.023772076,1.140682432,1.046563817,0.339159366
A33,16754.45686,1.625802702,0.379038898,2.213045663,0.875836221,0.020090862,0.853109373,1.491302924,0.012008357,0.751672442,0.555704176,0.751666816,0.146861772,0.018012051,5.760731472,1.11756881,1.033075855,0.213333458
A34,16462.36306,1.404691246,0.344212785,1.923730962,0.839105988,0.017692803,0.802785013,2.647455863,0.010971796,0.678211975,0.454426407,0.678207351,0.197189945,0.016457286,7.026655177,1.084203354,1.030412382,0.051850922
A35,16403.66608,1.285701406,0.296110725,3.106214311,0.820068937,-0.038932566,0.778232796,1.171754652,-0.022227607,0.640137874,0.427258745,0.640133777,0.221744867,-0.033341166,4.929639466,1.067250031,0.961934985,-0.036593318
A36,17732.66272,1.925322201,0.444488471,2.353294181,0.921254116,0.042178776,0.910107461,1.278961899,0.024280945,0.842508232,0.701372187,0.842501546,0.089872338,0.036420641,5.919159064,1.157577348,1.059985948,0.459675742
A37,16867.77291,1.373899508,0.394120172,2.288887804,0.836887656,0.053777356,0.804291885,6.253641454,0.034972828,0.673775311,0.380143985,0.673770893,0.195679623,0.052458401,4.862904256,1.083233317,1.078696935,0.016458557
A38,16961.94779,1.422997888,0.367405647,1.711932717,0.843818141,0.040151597,0.811686902,1.456568435,0.025182627,0.687636282,0.438874156,0.687631689,0.1882822,0.037773287,5.175253041,1.089052145,1.058823896,0.057026677
A39,15560.72964,1.146039691,0.243698079,2.68439157,0.793443365,-0.065132153,0.736664485,0.99067523,-0.038527901,0.58688673,0.403074802,0.58688308,0.263318544,-0.057791348,5.241550364,1.041886574,0.931122041,-0.12150031
A40,17083.86514,1.441593027,0.443391541,2.234342235,0.848583998,0.093653234,0.820614647,1.390342508,0.060450732,0.697167996,0.366442189,0.697163332,0.179364169,0.090674715,5.020417049,1.093937347,1.136936172,0.062083744
A41,16816.68896,1.47905131,0.353028897,1.989417986,0.853184143,0.008803254,0.824531698,1.553924804,0.005865972,0.706368286,0.484178384,0.706363378,0.17545563,0.008798652,4.754229589,1.097560496,1.018776175,0.097012043
A42,16721.46828,1.311256862,0.313439447,2.24783433,0.824904445,-0.02014233,0.785706933,1.204514514,-0.011263483,0.649808889,0.424741769,0.649804758,0.214272315,-0.016895151,3.941729307,1.071839241,0.982452439,-0.02099745
A43,16179.38269,1.358190628,0.348977691,1.999511369,0.83125302,0.038480854,0.792017439,1.353616998,0.024181232,0.66250604,0.42233993,0.662501545,0.207960281,0.036271155,7.85570304,1.07705956,1.059501467,0.018934056
A44,15693.05341,1.288121422,0.311374015,2.061185988,0.820109932,-0.026578402,0.777503356,1.182709524,-0.014990083,0.640219863,0.414861311,0.64021555,0.222477468,-0.022485031,5.037307268,1.067115445,0.976523589,-0.033652976
A45,16554.41789,1.330349848,0.322805201,2.301391012,0.827911652,-0.001289217,0.789600826,1.247685723,0.000363701,0.655823303,0.427337361,0.655819019,0.210389511,0.000545346,8.13146987,1.074513941,1.00845783,-0.006610467
A46,17008.77723,1.514061641,0.358654131,2.310955496,0.858209188,0.006845061,0.830435907,1.81691921,0.004419728,0.716418377,0.504930412,0.716413376,0.169538152,0.006629298,4.234288169,1.101894242,1.017120942,0.12722396
A47,17431.93766,1.565169829,0.3646878,2.001611468,0.867119965,0.011293305,0.842772479,1.894116284,0.007068147,0.73423993,0.52562455,0.734234816,0.157197372,0.010601897,4.140559713,1.110038313,1.021349761,0.161016137
A48,15802.64836,1.288493214,0.303899255,2.01601135,0.818904976,-0.009012176,0.773833373,1.22779667,-0.004975079,0.637809953,0.4257803,0.637805687,0.226153669,-0.007462739,4.705551657,1.065556621,0.998092677,-0.027841646
A49,16841.11107,1.324788401,0.317791074,1.968237055,0.827384726,-0.021827238,0.789425228,1.224269717,-0.012007868,0.654769452,0.4276097,0.654765275,0.210546497,-0.018011734,4.832707793,1.07416832,0.981539706,-0.012386085
A50,16348.46526,1.278386187,0.30613708,1.714783805,0.818742012,-0.016059808,0.776404802,1.162362595,-0.008842672,0.637484023,0.414368916,0.637479944,0.223580274,-0.013263999,4.816303368,1.066033919,0.988027613,-0.041132662
B1,15626.74151,1.345509321,0.348813759,2.303797289,0.828268994,0.030205492,0.786108931,1.350496242,0.019260688,0.656537989,0.415091146,0.656533382,0.213858405,0.028890351,6.021763898,1.073952037,1.052101219,0.012921883
B2,14544.3799,1.1546598,0.284184453,1.918486315,0.793452516,-0.010814367,0.733337402,1.028942326,-0.00614991,0.586905032,0.371272181,0.5869011,0.266644115,-0.009224985,4.266087635,1.04117497,0.996684362,-0.110922441
B3,14803.71919,1.194601334,0.289576269,1.930738344,0.801372538,-0.011913612,0.746172485,1.077364587,-0.006754914,0.602745077,0.387420584,0.602741008,0.253800823,-0.010132461,4.466231963,1.0488295,0.994548158,-0.087592835
B4,14761.81728,1.172213129,0.277488014,1.859237348,0.79774153,-0.027015358,0.741865188,1.034937675,-0.01585227,0.59548306,0.386227654,0.595479092,0.258104401,-0.023778304,4.240792142,1.045660957,0.975766659,-0.103426707
B5,15992.22828,1.302977996,0.318222102,2.041397183,0.822985508,-0.004479089,0.782066806,1.200579102,-0.001533873,0.645971015,0.415376432,0.645966708,0.217911553,-0.002300983,4.933773195,1.069871242,1.003863559,-0.024809503
B6,14341.6862,1.151450115,0.293926342,1.951057927,0.793095276,-0.000836475,0.733409333,1.021431442,-1.76151E-06,0.586190552,0.360408745,0.586186578,0.26655587,-2.87211E-06,4.225287592,1.040969094,1.008628338,-0.113616825
B7,15191.14955,1.206446631,0.28747757,1.895923687,0.804900564,-0.026485583,0.753978901,1.066418083,-0.01516093,0.609801127,0.392878152,0.609797103,0.24600223,-0.022741281,4.336316831,1.052693374,0.975887853,-0.084996718
B8,15281.33644,1.143672428,0.253868233,1.76360367,0.792824767,-0.049820685,0.735072987,0.987984111,-0.029438695,0.585649535,0.391532261,0.585645848,0.264903512,-0.044157681,4.012275891,1.041173517,0.94854578,-0.122668736
B9,15092.73061,1.21304865,0.302694134,2.004826321,0.804807092,0.003688388,0.752009595,1.107069512,0.002852658,0.609614185,0.385128097,0.609610105,0.247972567,0.004278699,4.610266907,1.052178527,1.015140376,-0.075554938
B10,16019.98031,1.305014438,0.311617557,2.010607414,0.823347145,-0.011039858,0.782650539,1.204507388,-0.005379637,0.646694289,0.422807869,0.646689984,0.217338522,-0.008069558,4.954916123,1.070215599,0.996613751,-0.023399377
