ID,Time1,Time2,Time3,Time4,Time5,Time6
A1,19.5121773,23.84888876,34.1016159,53.24496086,86.01512524,91.1885561
A2,23.51799823,31.35980299,41.61253013,62.12586683,77.05069204,95.69510464
A3,20.48337252,25.66987979,35.92260693,56.86291413,83.78000872,82.28115071
A4,24.27569638,32.78048702,43.03321416,72.18802228,76.24437594,96.54751505
A5,27.73529542,41.64223523,23.89496237,56.46947923,91.84290754,97.06456398
A6,14.57600914,20.21857345,30.47130059,44.21388313,89.92099985,89.01036691
A7,21.43640105,27.45680828,37.70953542,64.32213723,76.24462967,93.35330781
A8,24.3509095,32.92151163,43.17423877,52.61424888,81.33711063,96.63212982
A9,15.62303726,27.80675118,38.05947832,78.95837781,87.26327303,73.56327355
A10,20.86447503,26.38444699,46.63717413,59.71872692,94.07093786,92.70989104
A11,24.86622391,33.88772614,44.14045328,61.22294641,91.3999058,97.21185853
A12,20.83823039,35.3352383,36.58796544,56.68113429,77.2042801,102.6803658
A13,22.63212223,29.69878549,39.95151263,59.32955568,88.49496827,94.69849414
A14,21.79262436,28.12472699,38.37745413,67.24918917,82.27895951,87.75405904
A15,18.0349546,21.0790962,31.33182334,69.23247486,87.67341275,99.52668056
A16,19.49072068,24.09348023,42.69954724,62.44683199,79.8475021,90.87959475
A17,23.4965416,31.10366685,35.31707285,52.51658275,84.03651754,95.88687091
A18,20.46191589,25.79307186,40.85886305,67.88306587,89.38168174,92.09358877
A19,26.25423975,32.42963861,34.65304782,55.10952804,92.19411742,96.83399359
A20,24.71383879,33.23393693,39.26360325,61.77709842,82.49628534,97.40849239
A21,17.55455251,20.70518594,37.68085574,66.73169301,74.5729808,88.45938455
A22,21.41494442,27.46087178,34.65325678,52.37408887,85.84751206,103.2848744
A23,24.32945287,32.56126157,38.84706462,63.19466348,82.56504897,96.92801
A24,17.60158063,27.78748515,43.72743366,57.46489207,85.09127223,83.5181697
A25,20.8430184,26.46000124,48.56903999,49.62598749,74.30609945,92.5699669
A26,24.84476728,33.46306179,34.78113124,55.81992061,79.82293758,97.57215301
A27,16.81677377,26.41407314,35.44355713,58.10269887,86.23448731,112.5371611
A28,22.6106656,29.55338385,34.74177092,62.2049143,83.0489921,94.77952591
A29,21.77116773,28.08426258,39.62270488,43.66632969,86.9288397,93.73015357
